year,state,type,parameter,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2012,TH,input,Umwandlungseinsatz insgesamt,-,,-,-,-,-,34.774,,,,-,,337.722,-,-,118.059,-,,-,,24833.323266,,362.297,699.5196,5101.6104,1925.593,23992.59,,,-,7753.1868,,518.254,,1146.616,66823.545066
2012,TH,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487.4444,,,,,1487.4444
2012,TH,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6409.6704,,10543.086,,,16952.7564
2012,TH,output,Heizwerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4329.2556,,,4329.2556
2012,TH,output,Umwandlungsausstoß insgesamt,,-,-,-,,-,-,,,,,,,,,118.059,,,,,,,,,,,,,,,27894.6684,,16144.5826,,,44157.31
2012,TH,tender,Energieangebot nach Umwandlungsbilanz,53.320152,-,722.877,-,0.650736,1606.970274,3652.50609,,,18085.9659505028,35777.13096,128.4,14647.081,337.646,-,3980.526,2777.788035,,-,,51547.4152882105,,-,,,648,18799.746,,,791.25,45512.9568,,12993.4402,,2379.58,214443.250485713
2012,TH,usage,Endenergieverbrauch,53.320152,-,722.877,-,0.650736,1606.970274,3027.156076,,,18085.9659505028,35777.13096,128.4,14645.755,337.646,-,281.344,2777.071035,,-,,51051.883104,,,,,648,18799.746,,,791.25,45512.9568,,12993.4406,,2379.58,209621.143687503
2013,TH,primary,Primärenergieverbrauch im Inland,35.51497,-,526.2719,-,-,1726.155018,3143.187399,,,17249.8390120382,37014.211416,85.6,15906.0285297957,388.9032,-,3635.1435,2715.74956555,,-,,77752.3068805445,,355.2918,983.5884,5387.18508,3358.562,45928.3702,,,842.9,25244.9595997591,,187.4124,,3844.6129,246311.793770688
2013,TH,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),-,,-,,-,-,-,,,,-,,0.842,-,-,-,-,,-,,476.272,,-,,,,2987.616854,,,-,,,-,,310.997,3775.727854
2013,TH,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),-,,-,,-,-,-,,,,-,,24.1914,-,-,-,-,,-,,16043.54477,,-,,,,2797.271593,,,,,,-,,882.903,19747.910763
2013,TH,input,Heizwerke,-,,-,,-,-,-,,,,,,128.1751,-,-,-,-,,-,,3732.15717,,-,,,,1174.780374,,,-,,,,,419.368,5454.480644
2013,TH,input,Umwandlungseinsatz insgesamt,-,,-,-,-,-,43.549,,,,-,,282.719502742358,-,-,118.506,-,,-,,24398.3049921048,,340.5928,983.5884,5387.18508,2710.562,24276.076255,,,-,8133.102,,570.056,,1613.268,68857.5100298472
2013,TH,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.1136,,,,,1258.1136
2013,TH,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5334.1416,,9996.126228,,,15330.267828
2013,TH,output,Heizwerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5334.792984,,,5334.792984
2013,TH,output,Umwandlungsausstoß insgesamt,,-,-,-,,-,-,,,,,,,,,118.506,,,,,,,,,,,,,,,29375.4765819389,,16361.07373,,,45855.0563119389
2013,TH,tender,Energieangebot nach Umwandlungsbilanz,35.51497,-,526.2719,-,-,1726.155018,3099.638399,,,17249.8390120382,37014.211416,85.6,15623.3090270533,388.9032,-,3635.1435,2715.74956555,,-,,53320.5599584397,,-,,,648,21652.210637,,,842.9,45125.456292,,13204.8221,,2231.3449,219125.630895081
2013,TH,usage,Endenergieverbrauch,35.51497,-,526.2719,-,-,1726.155018,2525.302999,,,17249.8390120382,37014.211416,85.6,15621.8539270533,388.9032,-,277.4735,2714.83896555,,-,,52915.0684584397,,,,,648,21651.200507,,,842.9,45125.456292,,13204.8221,,2138.8961,214692.309365081
2014,TH,primary,Primärenergieverbrauch im Inland,14.705916,-,544.9803,-,-,1257.5342,3396.931992,,,16917.2409013164,37555.2202680704,121.552,13593.889234,350.3757,-,3785.622214,2540.5206732,,-,,69771.230582,,354.5675,594.398376,5835.3696,4155.386,41771.98103,,,902.266,25002.4880149056,,-,,3462.49406,231928.999397492
2014,TH,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),-,,-,,-,-,-,,,,-,,-,-,-,-,-,,-,,534.668,,-,,,,2525.923362,,,-,,,-,,1.708,3062.701362
2014,TH,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),-,,-,,-,-,-,,,,-,,9.8961,-,-,-,-,,-,,14134.5311,,-,,,,3284.671137,,,,,,-,,795.6615,18224.759837
2014,TH,input,Heizwerke,-,,-,,-,-,-,,,,,,88.16526,-,-,-,-,,-,,3059.5578,,-,,,,1281.586128,,,-,,,,,521.6035,4950.912688
2014,TH,input,Umwandlungseinsatz insgesamt,-,,-,-,-,-,45.767,,,,-,,210.92079,-,-,118.503,-,,-,,21868.56719,,328.7515,594.398376,5835.3696,3435.386,22067.402422,,,-,9034.9164,,575.798,,1321.23217,65437.012448
2014,TH,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133.874612,,,,,1133.874612
2014,TH,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5085.889884,,8901.66,,,13987.549884
2014,TH,output,Heizwerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4623.911028,,,4623.911028
2014,TH,output,Umwandlungsausstoß insgesamt,,-,-,-,,-,-,,,,,,,,,118.503,,,,,,,,,,,,,,,30380.558652,,14095.2539,,,44594.315552
2014,TH,tender,Energieangebot nach Umwandlungsbilanz,14.705916,-,544.9803,-,-,1257.5342,3351.164992,,,16917.2409013164,37555.2202680704,121.552,13382.968444,350.3757,-,3785.622214,2540.5206732,,-,,47860.090612,,-,,,720,19704.421044,,,902.266,45020.615652,,10918.2107,,2141.26189,207088.996342587
2014,TH,usage,Endenergieverbrauch,14.705916,-,544.9803,-,-,1257.5342,2782.620992,,,16917.2409013164,37555.2202680704,121.552,13380.072884,350.3757,-,299.10595,2539.6100732,,-,,47748.147362,,,,,720,19704.006735,,,902.266,45020.615652,,10918.2107,,1924.64539,202701.155859587
