id,weather_id,region_name,region_id
106,1119109,DE20,20
107,1120080,DE09,9
108,1120081,DE09,9
109,1120082,DE09,9
110,1120083,DE09,9
111,1120084,DE09,9
112,1120085,DE09,9
113,1120085,DE08,8
114,1120086,DE09,9
115,1120086,DE08,8
116,1120087,DE08,8
117,1120088,DE08,8
118,1120088,DE06,6
119,1120089,DE08,8
120,1120089,DE07,7
121,1120089,DE06,6
122,1120090,DE06,6
123,1120091,DE06,6
124,1120092,DE06,6
125,1120093,DE06,6
126,1120094,DE05,5
127,1120094,DE06,6
128,1120095,DE05,5
129,1120095,DE06,6
130,1120096,DE05,5
131,1120097,DE05,5
132,1120099,DE21,21
133,1120100,DE14,14
134,1120100,DE21,21
135,1120101,DE14,14
136,1120101,DE21,21
137,1120102,DE21,21
138,1120103,DE21,21
139,1120104,DE21,21
140,1120105,DE21,21
141,1120105,DE20,20
142,1120106,DE21,21
143,1120106,DE20,20
144,1120107,DE20,20
145,1120108,DE20,20
146,1120109,DE20,20
147,1121073,DE12,12
148,1121074,DE12,12
149,1121075,DE12,12
150,1121076,DE12,12
151,1121077,DE12,12
152,1121080,DE09,9
153,1121081,DE09,9
154,1121082,DE09,9
155,1121083,DE09,9
156,1121084,DE09,9
157,1121085,DE09,9
158,1121085,DE08,8
159,1121086,DE09,9
160,1121086,DE08,8
161,1121087,DE08,8
162,1121088,DE08,8
163,1121088,DE07,7
164,1121088,DE06,6
165,1121089,DE08,8
166,1121089,DE07,7
167,1121089,DE06,6
168,1121090,DE07,7
169,1121090,DE06,6
170,1121091,DE07,7
171,1121091,DE06,6
172,1121092,DE07,7
173,1121092,DE06,6
174,1121093,DE05,5
175,1121093,DE07,7
176,1121093,DE06,6
177,1121094,DE05,5
178,1121094,DE07,7
179,1121094,DE06,6
180,1121095,DE05,5
181,1121096,DE05,5
182,1121097,DE05,5
183,1121098,DE05,5
184,1121098,DE14,14
185,1121099,DE05,5
186,1121099,DE14,14
187,1121099,DE21,21
188,1121100,DE14,14
189,1121100,DE21,21
190,1121101,DE14,14
191,1121101,DE21,21
