gid,geom
1121093,"MULTIPOLYGON (((7.206375985403183 51.79544958366516, 7.192082746686078 52.01527277758419, 7.548850727234154 52.02354061482457, 7.561331362978653 51.80367535846848, 7.206375985403183 51.79544958366516)))"
1121094,"MULTIPOLYGON (((7.192082746686078 52.01527277758419, 7.177648358308612 52.23509422478544, 7.536246781105374 52.24340453948307, 7.548850727234154 52.02354061482457, 7.192082746686078 52.01527277758419)))"
1121095,"MULTIPOLYGON (((7.177648358308612 52.23509422478544, 7.163070288924002 52.45491389392943, 7.523517312057569 52.46326710854132, 7.536246781105374 52.24340453948307, 7.177648358308612 52.23509422478544)))"
1121096,"MULTIPOLYGON (((7.163070288924002 52.45491389392944, 7.148345948054249 52.67473175294411, 7.510660055838185 52.68312829753764, 7.523517312057569 52.46326710854133, 7.163070288924002 52.45491389392944)))"
1121097,"MULTIPOLYGON (((7.148345948054249 52.67473175294411, 7.133472684338363 52.89454776900324, 7.497672694943535 52.90298808143485, 7.510660055838185 52.68312829753764, 7.148345948054249 52.67473175294411)))"
1121098,"MULTIPOLYGON (((7.133472684338363 52.89454776900324, 7.118447783718095 53.11436190850382, 7.484552857030859 53.12284643460293, 7.497672694943535 52.90298808143485, 7.133472684338363 52.89454776900324)))"
1121099,"MULTIPOLYGON (((7.118447783718095 53.11436190850382, 7.103268467558737 53.33417413704284, 7.471298113273136 53.34270333080147, 7.484552857030859 53.12284643460294, 7.118447783718095 53.11436190850382)))"
1121100,"MULTIPOLYGON (((7.103268467558737 53.33417413704282, 7.087931890701926 53.55398441939307, 7.457905976654664 53.56255874316096, 7.471298113273136 53.34270333080146, 7.103268467558737 53.33417413704282)))"
1121101,"MULTIPOLYGON (((7.087931890701926 53.55398441939307, 7.072435139447594 53.77379271947819, 7.444373900204634 53.78241264416392, 7.457905976654664 53.56255874316096, 7.087931890701926 53.55398441939307)))"
1121102,"MULTIPOLYGON (((7.072435139447594 53.77379271947819, 7.056775229462557 53.99359900034668, 7.43069927516594 54.00226500562498, 7.444373900204634 53.78241264416392, 7.072435139447594 53.77379271947819)))"
1121103,"MULTIPOLYGON (((7.056775229462557 53.99359900034668, 7.040949103611879 54.213403224145, 7.416879429096773 54.22211579867034, 7.43069927516594 54.00226500562498, 7.056775229462557 53.99359900034668)))"
1121104,"MULTIPOLYGON (((7.040949103611879 54.213403224145, 7.024953629710194 54.43320535208984, 7.402911623901881 54.44196499371656, 7.416879429096773 54.22211579867034, 7.040949103611879 54.213403224145)))"
1121105,"MULTIPOLYGON (((7.024953629710194 54.43320535208984, 7.008785598189167 54.65300534443889, 7.388793053790475 54.66181256044833, 7.402911623901881 54.44196499371656, 7.024953629710194 54.43320535208984)))"
1121106,"MULTIPOLYGON (((7.008785598189167 54.65300534443889, 6.992441719677821 54.87280316046117, 7.374520843157599 54.88165846779575, 7.388793053790475 54.66181256044833, 7.008785598189167 54.65300534443889)))"
1121107,"MULTIPOLYGON (((6.992441719677821 54.87280316046117, 6.975918622491538 55.09259875840567, 7.360092044385451 55.1015026839103, 7.374520843157599 54.88165846779575, 6.992441719677821 54.87280316046117)))"
1121108,"MULTIPOLYGON (((6.975918622491538 55.09259875840568, 6.959212850025782 55.31239209546915, 7.345503635561473 55.32134517614048, 7.360092044385451 55.10150268391031, 6.975918622491538 55.09259875840568)))"
1122073,"MULTIPOLYGON (((7.788055014338933 47.40612304913918, 7.777644004111671 47.62601065533111, 8.10126476615706 47.63249034332988, 8.110161410738483 47.41257239211226, 7.788055014338933 47.40612304913918)))"
1122074,"MULTIPOLYGON (((7.777644004111671 47.62601065533111, 7.767145031196371 47.84589731166237, 8.092292926160585 47.85240760093175, 8.10126476615706 47.63249034332988, 7.777644004111671 47.62601065533111)))"
1122075,"MULTIPOLYGON (((7.767145031196371 47.84589731166236, 7.756556663239924 48.06578300266152, 8.08324466587216 48.07232415361713, 8.092292926160585 47.85240760093175, 7.767145031196371 47.84589731166236)))"
1122076,"MULTIPOLYGON (((7.756556663239924 48.0657830026615, 7.745877438099844 48.28566771253524, 8.074118734928566 48.29223998985011, 8.08324466587216 48.07232415361713, 7.756556663239924 48.0657830026615)))"
1122077,"MULTIPOLYGON (((7.745877438099844 48.28566771253524, 7.735105863053017 48.50555142515984, 8.064913856803011 48.51215509785327, 8.074118734928566 48.29223998985011, 7.745877438099844 48.28566771253524)))"
1122078,"MULTIPOLYGON (((7.735105863053017 48.50555142515984, 7.724240413979244 48.72543412407235, 8.055628728106248 48.7320694656014, 8.064913856803011 48.51215509785327, 7.735105863053017 48.50555142515984)))"
1122079,"MULTIPOLYGON (((7.724240413979244 48.72543412407235, 7.713279534518668 48.94531579246137, 8.046262017865173 48.95198308081459, 8.055628728106248 48.7320694656014, 7.724240413979244 48.72543412407235)))"
1122080,"MULTIPOLYGON (((7.713279534518668 48.94531579246137, 7.702221635201914 49.16519641315778, 8.036812366778296 49.1718959309516, 8.046262017865173 48.95198308081459, 7.713279534518668 48.94531579246137)))"
1122081,"MULTIPOLYGON (((7.702221635201914 49.16519641315778, 7.691065092552017 49.38507596862494, 8.027278386446961 49.3918080032026, 8.036812366778296 49.1718959309516, 7.702221635201914 49.16519641315778)))"
1122082,"MULTIPOLYGON (((7.691065092552017 49.38507596862494, 7.679808248157337 49.60495444094872, 8.017658658581533 49.61171928448189, 8.027278386446961 49.39180800320259, 7.691065092552017 49.38507596862494)))"
1122083,"MULTIPOLYGON (((7.679808248157337 49.60495444094872, 7.668449407713749 49.82483181182707, 8.007951734181502 49.83162976142038, 8.017658658581533 49.61171928448191, 7.679808248157337 49.60495444094872)))"
1122084,"MULTIPOLYGON (((7.668449407713749 49.82483181182707, 7.656986840035467 50.04470806255947, 7.998156132688662 50.0515394203577, 8.007951734181502 49.83162976142038, 7.668449407713749 49.82483181182707)))"
1122085,"MULTIPOLYGON (((7.656986840035467 50.04470806255947, 7.645418776033171 50.26458317403571, 7.98827034111216 50.27144824733416, 7.998156132688662 50.0515394203577, 7.656986840035467 50.04470806255947)))"
1122086,"MULTIPOLYGON (((7.645418776033171 50.26458317403573, 7.633743407657857 50.48445712672465, 7.978292813124272 50.49135622808235, 7.98827034111216 50.27144824733416, 7.645418776033171 50.26458317403573)))"
1122087,"MULTIPOLYGON (((7.633743407657857 50.48445712672465, 7.621958886809424 50.7043299006622, 7.968221968126111 50.71126334801865, 7.978292813124272 50.49135622808235, 7.633743407657857 50.48445712672465)))"
1122088,"MULTIPOLYGON (((7.621958886809424 50.7043299006622, 7.610063324208673 50.92420147543935, 7.958056190281526 50.93116959223415, 7.968221968126111 50.71126334801865, 7.621958886809424 50.7043299006622)))"
1122089,"MULTIPOLYGON (((7.610063324208673 50.92420147543935, 7.598054788230627 51.1440718301894, 7.947793827518484 51.15107494548548, 7.958056190281526 50.93116959223415, 7.610063324208673 50.92420147543935)))"
1122090,"MULTIPOLYGON (((7.598054788230627 51.1440718301894, 7.585931303698564 51.36394094357497, 7.937433190496308 51.37097939218536, 7.947793827518484 51.15107494548548, 7.598054788230627 51.1440718301894)))"
1122091,"MULTIPOLYGON (((7.585931303698564 51.36394094357497, 7.573690850636507 51.58380879377457, 7.92697255153749 51.59088291639262, 7.937433190496308 51.37097939218536, 7.585931303698564 51.36394094357497)))"
1122092,"MULTIPOLYGON (((7.573690850636507 51.58380879377457, 7.561331362978653 51.80367535846848, 7.916410143522671 51.81078550180202, 7.92697255153749 51.59088291639262, 7.573690850636507 51.58380879377457)))"
1122093,"MULTIPOLYGON (((7.561331362978653 51.80367535846848, 7.548850727234154 52.02354061482457, 7.905744158747235 52.03068713173381, 7.916410143522671 51.81078550180202, 7.561331362978653 51.80367535846848)))"
1122094,"MULTIPOLYGON (((7.548850727234154 52.02354061482457, 7.536246781105374 52.24340453948307, 7.894972747738102 52.25058778912265, 7.905744158747235 52.03068713173381, 7.548850727234154 52.02354061482457)))"
1122095,"MULTIPOLYGON (((7.536246781105374 52.24340453948307, 7.523517312057569 52.46326710854132, 7.884094018028925 52.47048745650634, 7.894972747738102 52.25058778912265, 7.536246781105374 52.24340453948307)))"
1122096,"MULTIPOLYGON (((7.523517312057569 52.46326710854133, 7.510660055838185 52.68312829753764, 7.873106032891998 52.69038611601417, 7.884094018028925 52.47048745650635, 7.523517312057569 52.46326710854133)))"
1122097,"MULTIPOLYGON (((7.510660055838185 52.68312829753764, 7.497672694943535 52.90298808143485, 7.862006810025269 52.9102837493548, 7.873106032891998 52.69038611601417, 7.510660055838185 52.68312829753764)))"
1122098,"MULTIPOLYGON (((7.497672694943535 52.90298808143485, 7.484552857030859 53.12284643460293, 7.850794320192154 53.13018033780355, 7.862006810025269 52.9102837493548, 7.497672694943535 52.90298808143485)))"
1122099,"MULTIPOLYGON (((7.484552857030859 53.12284643460294, 7.471298113273136 53.34270333080147, 7.839466485812912 53.35007586218965, 7.850794320192154 53.13018033780357, 7.484552857030859 53.12284643460294)))"
1122100,"MULTIPOLYGON (((7.471298113273136 53.34270333080146, 7.457905976654664 53.56255874316096, 7.82802117950459 53.56997030288246, 7.839466485812912 53.35007586218963, 7.471298113273136 53.34270333080146)))"
1122101,"MULTIPOLYGON (((7.457905976654664 53.56255874316096, 7.444373900204634 53.78241264416392, 7.816456222568148 53.78986363977774, 7.82802117950459 53.56997030288246, 7.457905976654664 53.56255874316096)))"
1122102,"MULTIPOLYGON (((7.444373900204634 53.78241264416392, 7.43069927516594 54.00226500562498, 7.80476938342019 54.00975585228304, 7.816456222568148 53.78986363977774, 7.444373900204634 53.78241264416392)))"
1122103,"MULTIPOLYGON (((7.43069927516594 54.00226500562498, 7.416879429096773 54.22211579867034, 7.792958375966839 54.22964691930277, 7.80476938342019 54.00975585228304, 7.43069927516594 54.00226500562498)))"
1122104,"MULTIPOLYGON (((7.416879429096773 54.22211579867034, 7.402911623901881 54.44196499371656, 7.781020857917351 54.44953681922254, 7.792958375966839 54.22964691930277, 7.416879429096773 54.22211579867034)))"
1122105,"MULTIPOLYGON (((7.402911623901881 54.44196499371656, 7.388793053790475 54.66181256044833, 7.768954429034992 54.669425529893, 7.781020857917351 54.44953681922254, 7.402911623901881 54.44196499371656)))"
1122106,"MULTIPOLYGON (((7.388793053790475 54.66181256044833, 7.374520843157599 54.88165846779575, 7.756756629322084 54.88931302861318, 7.768954429034992 54.669425529893, 7.388793053790475 54.66181256044833)))"
1122107,"MULTIPOLYGON (((7.374520843157599 54.88165846779575, 7.360092044385451 55.1015026839103, 7.744424937136737 55.109199292113, 7.756756629322084 54.88931302861318, 7.374520843157599 54.88165846779575)))"
1122108,"MULTIPOLYGON (((7.360092044385451 55.10150268391031, 7.345503635561473 55.32134517614048, 7.731956767237798 55.32908429653533, 7.744424937136737 55.109199292113, 7.360092044385451 55.10150268391031)))"
1123073,"MULTIPOLYGON (((8.110161410738483 47.41257239211226, 8.10126476615706 47.63249034332988, 8.424963841494391 47.63795257609275, 8.432344956846892 47.41800903703818, 8.110161410738483 47.41257239211226)))"
1123074,"MULTIPOLYGON (((8.10126476615706 47.63249034332988, 8.092292926160585 47.85240760093175, 8.417520320827071 47.85789563772367, 8.424963841494391 47.63795257609275, 8.10126476615706 47.63249034332988)))"
1123075,"MULTIPOLYGON (((8.092292926160585 47.85240760093175, 8.08324466587216 48.07232415361713, 8.410013378014099 48.07783821415071, 8.417520320827071 47.85789563772367, 8.092292926160585 47.85240760093175)))"
1123076,"MULTIPOLYGON (((8.08324466587216 48.07232415361713, 8.074118734928566 48.29223998985011, 8.402441975058908 48.29778029743173, 8.410013378014099 48.07783821415071, 8.08324466587216 48.07232415361713)))"
1123077,"MULTIPOLYGON (((8.074118734928566 48.29223998985011, 8.064913856803011 48.51215509785327, 8.394805052236402 48.51772187945824, 8.402441975058908 48.29778029743173, 8.074118734928566 48.29223998985011)))"
1123078,"MULTIPOLYGON (((8.064913856803011 48.51215509785327, 8.055628728106248 48.7320694656014, 8.387101527512415 48.73766295195108, 8.394805052236402 48.51772187945824, 8.064913856803011 48.51215509785327)))"
1123079,"MULTIPOLYGON (((8.055628728106248 48.7320694656014, 8.046262017865173 48.95198308081459, 8.379330295944158 48.95760350645573, 8.387101527512415 48.73766295195108, 8.055628728106248 48.7320694656014)))"
1123080,"MULTIPOLYGON (((8.046262017865173 48.95198308081459, 8.036812366778296 49.1718959309516, 8.371490229061747 49.17754353433765, 8.379330295944158 48.95760350645573, 8.046262017865173 48.95198308081459)))"
1123081,"MULTIPOLYGON (((8.036812366778296 49.1718959309516, 8.027278386446961 49.3918080032026, 8.363580174229316 49.39748302677734, 8.371490229061747 49.17754353433765, 8.036812366778296 49.1718959309516)))"
1123082,"MULTIPOLYGON (((8.027278386446961 49.39180800320259, 8.017658658581533 49.61171928448189, 8.355598953985421 49.61742197476526, 8.363580174229316 49.39748302677734, 8.027278386446961 49.39180800320259)))"
1123083,"MULTIPOLYGON (((8.017658658581533 49.61171928448191, 8.007951734181502 49.83162976142038, 8.347545365361917 49.83736036909676, 8.355598953985421 49.61742197476527, 8.017658658581533 49.61171928448191)))"
1123084,"MULTIPOLYGON (((8.007951734181502 49.83162976142038, 7.998156132688662 50.0515394203577, 8.339418179180115 50.0572982003665, 8.347545365361917 49.83736036909676, 8.007951734181502 49.83162976142038)))"
1123085,"MULTIPOLYGON (((7.998156132688662 50.0515394203577, 7.98827034111216 50.27144824733416, 8.331216139323761 50.27723545896304, 8.339418179180115 50.0572982003665, 7.998156132688662 50.0515394203577)))"
1123086,"MULTIPOLYGON (((7.98827034111216 50.27144824733416, 7.978292813124272 50.49135622808235, 8.322937961987783 50.49717213506302, 8.331216139323761 50.27723545896304, 7.98827034111216 50.27144824733416)))"
1123087,"MULTIPOLYGON (((7.978292813124272 50.49135622808235, 7.968221968126111 50.71126334801865, 8.314582334901704 50.71710821862519, 8.322937961987783 50.49717213506302, 7.978292813124272 50.49135622808235)))"
1123088,"MULTIPOLYGON (((7.968221968126111 50.71126334801865, 7.958056190281526 50.93116959223415, 8.306147916527001 50.93704369938437, 8.314582334901704 50.71710821862519, 7.968221968126111 50.71126334801865)))"
1123089,"MULTIPOLYGON (((7.958056190281526 50.93116959223415, 7.947793827518484 51.15107494548548, 8.297633335227049 51.15697856684494, 8.306147916527001 50.93704369938437, 7.958056190281526 50.93116959223415)))"
1123090,"MULTIPOLYGON (((7.947793827518484 51.15107494548548, 7.937433190496308 51.37097939218536, 8.289037188409017 51.3769128102744, 8.297633335227049 51.15697856684494, 7.947793827518484 51.15107494548548)))"
1123091,"MULTIPOLYGON (((7.937433190496308 51.37097939218536, 7.92697255153749 51.59088291639262, 8.280358041636022 51.59684641869654, 8.289037188409017 51.3769128102744, 7.937433190496308 51.37097939218536)))"
1123092,"MULTIPOLYGON (((7.92697255153749 51.59088291639262, 7.916410143522671 51.81078550180202, 8.271594427708829 51.81677938088434, 8.280358041636022 51.59684641869654, 7.92697255153749 51.59088291639262)))"
1123093,"MULTIPOLYGON (((7.916410143522671 51.81078550180202, 7.905744158747235 52.03068713173381, 8.262744845715591 52.03671168535288, 8.271594427708829 51.81677938088434, 7.916410143522671 51.81078550180202)))"
1123094,"MULTIPOLYGON (((7.905744158747235 52.03068713173381, 7.894972747738102 52.25058778912265, 8.253807760048428 52.25664332035154, 8.262744845715591 52.03671168535288, 7.905744158747235 52.03068713173381)))"
1123095,"MULTIPOLYGON (((7.894972747738102 52.25058778912265, 7.884094018028925 52.47048745650634, 8.244781599385519 52.47657427385644, 8.253807760048428 52.25664332035154, 7.894972747738102 52.25058778912265)))"
1123096,"MULTIPOLYGON (((7.884094018028925 52.47048745650635, 7.873106032891998 52.69038611601417, 8.235664755637123 52.69650453356223, 8.244781599385519 52.47657427385644, 7.884094018028925 52.47048745650635)))"
1123097,"MULTIPOLYGON (((7.873106032891998 52.69038611601417, 7.862006810025269 52.9102837493548, 8.226455582854177 52.91643408687387, 8.235664755637123 52.69650453356223, 7.873106032891998 52.69038611601417)))"
1123098,"MULTIPOLYGON (((7.862006810025269 52.9102837493548, 7.850794320192154 53.13018033780355, 8.217152396097919 53.13636292089777, 8.226455582854177 52.91643408687387, 7.862006810025269 52.9102837493548)))"
1123099,"MULTIPOLYGON (((7.850794320192154 53.13018033780357, 7.839466485812912 53.35007586218965, 8.207753470268926 53.3562910224331, 8.217152396097919 53.13636292089779, 7.850794320192154 53.13018033780357)))"
1123100,"MULTIPOLYGON (((7.839466485812912 53.35007586218963, 7.82802117950459 53.56997030288246, 8.198257038893434 53.57621837796221, 8.207753470268926 53.35629102243309, 7.839466485812912 53.35007586218963)))"
1123101,"MULTIPOLYGON (((7.82802117950459 53.56997030288246, 7.816456222568148 53.78986363977774, 8.188661292865939 53.7961449736412, 8.198257038893434 53.57621837796221, 7.82802117950459 53.56997030288246)))"
1123102,"MULTIPOLYGON (((7.816456222568148 53.78986363977774, 7.80476938342019 54.00975585228304, 8.178964379145436 54.01607079528988, 8.188661292865939 53.7961449736412, 7.816456222568148 53.78986363977774)))"
1123103,"MULTIPOLYGON (((7.80476938342019 54.00975585228304, 7.792958375966839 54.22964691930277, 8.169164399403689 54.23599582838141, 8.178964379145436 54.01607079528988, 7.80476938342019 54.00975585228304)))"
1123104,"MULTIPOLYGON (((7.792958375966839 54.22964691930277, 7.781020857917351 54.44953681922254, 8.159259408623376 54.45592005803159, 8.169164399403689 54.23599582838141, 7.792958375966839 54.22964691930277)))"
1123105,"MULTIPOLYGON (((7.781020857917351 54.44953681922254, 7.768954429034992 54.669425529893, 8.149247413643923 54.67584346898767, 8.159259408623376 54.45592005803159, 7.781020857917351 54.44953681922254)))"
1123106,"MULTIPOLYGON (((7.768954429034992 54.669425529893, 7.756756629322084 54.88931302861318, 8.139126371652821 54.89576604561685, 8.149247413643923 54.67584346898767, 7.768954429034992 54.669425529893)))"
1123107,"MULTIPOLYGON (((7.756756629322084 54.88931302861318, 7.744424937136737 55.109199292113, 8.128894188619711 55.11568777189431, 8.139126371652821 54.89576604561685, 7.756756629322084 54.88931302861318)))"
1123108,"MULTIPOLYGON (((7.744424937136737 55.109199292113, 7.731956767237798 55.32908429653533, 8.118548717671249 55.33560863139072, 8.128894188619711 55.11568777189432, 7.744424937136737 55.109199292113)))"
1124073,"MULTIPOLYGON (((8.432344956846892 47.41800903703818, 8.424963841494391 47.63795257609275, 8.748727908583323 47.642396954012, 8.754592528730695 47.4224325900935, 8.432344956846892 47.41800903703818)))"
1124074,"MULTIPOLYGON (((8.424963841494391 47.63795257609275, 8.417520320827071 47.85789563772367, 8.742813692180251 47.86236101653662, 8.748727908583323 47.642396954012, 8.424963841494391 47.63795257609275)))"
1124075,"MULTIPOLYGON (((8.417520320827071 47.85789563772367, 8.410013378014099 48.07783821415071, 8.736849071210322 48.08232477275487, 8.742813692180251 47.86236101653662, 8.417520320827071 47.85789563772367)))"
1124076,"MULTIPOLYGON (((8.410013378014099 48.07783821415071, 8.402441975058908 48.29778029743173, 8.730833220531654 48.30228821765196, 8.736849071210322 48.08232477275485, 8.410013378014099 48.07783821415071)))"
1124077,"MULTIPOLYGON (((8.402441975058908 48.29778029743173, 8.394805052236402 48.51772187945824, 8.724765297724007 48.52225134610807, 8.730833220531654 48.30228821765196, 8.402441975058908 48.29778029743173)))"
1124078,"MULTIPOLYGON (((8.394805052236402 48.51772187945824, 8.387101527512415 48.73766295195108, 8.718644442626854 48.74221415289559, 8.724765297724007 48.52225134610807, 8.394805052236402 48.51772187945824)))"
1124079,"MULTIPOLYGON (((8.387101527512415 48.73766295195108, 8.379330295944158 48.95760350645573, 8.712469776862612 48.96217663267614, 8.718644442626854 48.74221415289559, 8.387101527512415 48.73766295195108)))"
1124080,"MULTIPOLYGON (((8.379330295944158 48.95760350645573, 8.371490229061747 49.17754353433765, 8.70624040334449 49.18213877999762, 8.712469776862612 48.96217663267614, 8.379330295944158 48.95760350645573)))"
1124081,"MULTIPOLYGON (((8.371490229061747 49.17754353433765, 8.363580174229316 49.39748302677734, 8.699955405768295 49.40210058929114, 8.70624040334449 49.18213877999762, 8.371490229061747 49.17754353433765)))"
1124082,"MULTIPOLYGON (((8.363580174229316 49.39748302677734, 8.355598953985421 49.61742197476526, 8.693613848087827 49.62206205486783, 8.699955405768295 49.40210058929114, 8.363580174229316 49.39748302677734)))"
1124083,"MULTIPOLYGON (((8.355598953985421 49.61742197476527, 8.347545365361917 49.83736036909676, 8.687214773972761 49.84202317091546, 8.693613848087827 49.62206205486783, 8.355598953985421 49.61742197476527)))"
1124084,"MULTIPOLYGON (((8.347545365361917 49.83736036909676, 8.339418179180115 50.0572982003665, 8.680757206248888 50.06198393149516, 8.687214773972761 49.84202317091546, 8.347545365361917 49.83736036909676)))"
1124085,"MULTIPOLYGON (((8.339418179180115 50.0572982003665, 8.331216139323761 50.27723545896304, 8.674240146319748 50.28194433053784, 8.680757206248888 50.06198393149516, 8.339418179180115 50.0572982003665)))"
1124086,"MULTIPOLYGON (((8.331216139323761 50.27723545896304, 8.322937961987783 50.49717213506302, 8.667662573568801 50.50190436184054, 8.674240146319748 50.28194433053784, 8.331216139323761 50.27723545896304)))"
1124087,"MULTIPOLYGON (((8.322937961987783 50.49717213506302, 8.314582334901704 50.71710821862519, 8.661023444741724 50.72186401906274, 8.667662573568801 50.50190436184054, 8.322937961987783 50.49717213506302)))"
1124088,"MULTIPOLYGON (((8.314582334901704 50.71710821862519, 8.306147916527001 50.93704369938437, 8.654321693307718 50.94182329572237, 8.661023444741724 50.72186401906274, 8.314582334901704 50.71710821862519)))"
1124089,"MULTIPOLYGON (((8.306147916527001 50.93704369938437, 8.297633335227049 51.15697856684494, 8.647556228799235 51.16178218519192, 8.654321693307718 50.94182329572237, 8.306147916527001 50.93704369938437)))"
1124090,"MULTIPOLYGON (((8.297633335227049 51.15697856684494, 8.289037188409017 51.3769128102744, 8.640725936129071 51.38174068069419, 8.647556228799235 51.16178218519192, 8.297633335227049 51.15697856684494)))"
1124091,"MULTIPOLYGON (((8.289037188409017 51.3769128102744, 8.280358041636022 51.59684641869654, 8.633829674884179 51.60169877529808, 8.640725936129071 51.38174068069419, 8.289037188409017 51.3769128102744)))"
1124092,"MULTIPOLYGON (((8.280358041636022 51.59684641869654, 8.271594427708829 51.81677938088434, 8.626866278594783 51.82165646191402, 8.633829674884179 51.60169877529808, 8.280358041636022 51.59684641869654)))"
1124093,"MULTIPOLYGON (((8.271594427708829 51.81677938088434, 8.262744845715591 52.03671168535288, 8.619834553978519 52.04161373328955, 8.626866278594783 51.82165646191402, 8.271594427708829 51.81677938088434)))"
1124094,"MULTIPOLYGON (((8.262744845715591 52.03671168535288, 8.253807760048428 52.25664332035154, 8.612733280157819 52.26157058200442, 8.619834553978519 52.04161373328955, 8.262744845715591 52.03671168535288)))"
1124095,"MULTIPOLYGON (((8.253807760048428 52.25664332035154, 8.244781599385519 52.47657427385644, 8.605561207849938 52.48152700046573, 8.612733280157819 52.26157058200442, 8.253807760048428 52.25664332035154)))"
1124096,"MULTIPOLYGON (((8.244781599385519 52.47657427385644, 8.235664755637123 52.69650453356223, 8.598317058528407 52.70148298090278, 8.605561207849938 52.48152700046574, 8.244781599385519 52.47657427385644)))"
1124097,"MULTIPOLYGON (((8.235664755637123 52.69650453356223, 8.226455582854177 52.91643408687387, 8.59099952355451 52.92143851536191, 8.598317058528407 52.70148298090278, 8.235664755637123 52.69650453356223)))"
1124098,"MULTIPOLYGON (((8.226455582854177 52.91643408687387, 8.217152396097919 53.13636292089777, 8.583607263277854 53.14139359570081, 8.59099952355451 52.92143851536191, 8.226455582854177 52.91643408687387)))"
1124099,"MULTIPOLYGON (((8.217152396097919 53.13636292089779, 8.207753470268926 53.3562910224331, 8.576138906104482 53.36134821358315, 8.583607263277854 53.14139359570083, 8.217152396097919 53.13636292089779)))"
1124100,"MULTIPOLYGON (((8.207753470268926 53.35629102243309, 8.198257038893434 53.57621837796221, 8.568593047531145 53.58130236047242, 8.576138906104482 53.36134821358313, 8.207753470268926 53.35629102243309)))"
1124101,"MULTIPOLYGON (((8.198257038893434 53.57621837796221, 8.188661292865939 53.7961449736412, 8.560968249144759 53.80125602762605, 8.568593047531145 53.58130236047242, 8.198257038893434 53.57621837796221)))"
1124102,"MULTIPOLYGON (((8.188661292865939 53.7961449736412, 8.178964379145436 54.01607079528988, 8.553263037584692 54.02120920608904, 8.560968249144759 53.80125602762605, 8.188661292865939 53.7961449736412)))"
1124103,"MULTIPOLYGON (((8.178964379145436 54.01607079528988, 8.169164399403689 54.23599582838141, 8.545475903467167 54.24116188668732, 8.553263037584692 54.02120920608904, 8.178964379145436 54.01607079528988)))"
1124104,"MULTIPOLYGON (((8.169164399403689 54.23599582838141, 8.159259408623376 54.45592005803159, 8.537605300269661 54.46111406002116, 8.545475903467167 54.24116188668732, 8.169164399403689 54.23599582838141)))"
1124105,"MULTIPOLYGON (((8.159259408623376 54.45592005803159, 8.149247413643923 54.67584346898767, 8.529649643173553 54.68106571645793, 8.537605300269661 54.46111406002116, 8.159259408623376 54.45592005803159)))"
1124106,"MULTIPOLYGON (((8.149247413643923 54.67584346898767, 8.139126371652821 54.89576604561685, 8.521607307863334 54.90101684612498, 8.529649643173553 54.68106571645793, 8.149247413643923 54.67584346898767)))"
1124107,"MULTIPOLYGON (((8.139126371652821 54.89576604561685, 8.128894188619711 55.11568777189431, 8.513476629280589 55.12096743890195, 8.521607307863334 54.90101684612498, 8.139126371652821 54.89576604561685)))"
1125074,"MULTIPOLYGON (((8.748727908583323 47.642396954012, 8.742813692180251 47.86236101653662, 9.068159497603322 47.86580340727654, 9.072543626761746 47.64582315179319, 8.748727908583323 47.642396954012)))"
1125075,"MULTIPOLYGON (((8.742813692180251 47.86236101653662, 8.736849071210322 48.08232477275487, 9.063737996910367 48.08578349444451, 9.068159497603322 47.86580340727654, 8.742813692180251 47.86236101653662)))"
1125076,"MULTIPOLYGON (((8.736849071210322 48.08232477275485, 8.730833220531654 48.30228821765196, 9.05927851278401 48.30576341054111, 9.063737996910367 48.08578349444451, 8.736849071210322 48.08232477275485)))"
1125077,"MULTIPOLYGON (((8.730833220531654 48.30228821765196, 8.724765297724007 48.52225134610807, 9.054780420509084 48.52574315275252, 9.05927851278401 48.30576341054111, 8.730833220531654 48.30228821765196)))"
1125078,"MULTIPOLYGON (((8.724765297724007 48.52225134610807, 8.718644442626854 48.74221415289559, 9.050243082211409 48.7457227182058, 9.054780420509084 48.52574315275252, 8.724765297724007 48.52225134610807)))"
1125079,"MULTIPOLYGON (((8.718644442626854 48.74221415289559, 8.712469776862612 48.96217663267614, 9.045665846504097 48.96570210396698, 9.050243082211409 48.7457227182058, 8.718644442626854 48.74221415289559)))"
1125080,"MULTIPOLYGON (((8.712469776862612 48.96217663267614, 8.70624040334449 49.18213877999762, 9.04104804812223 49.18568130703971, 9.045665846504097 48.96570210396698, 8.712469776862612 48.96217663267614)))"
1125081,"MULTIPOLYGON (((8.70624040334449 49.18213877999762, 8.699955405768295 49.40210058929114, 9.036389007546051 49.40566032436333, 9.04104804812223 49.18568130703971, 8.70624040334449 49.18213877999762)))"
1125082,"MULTIPOLYGON (((8.699955405768295 49.40210058929114, 8.693613848087827 49.62206205486783, 9.031688030611408 49.6256391528113, 9.036389007546051 49.40566032436333, 8.699955405768295 49.40210058929114)))"
1125083,"MULTIPOLYGON (((8.693613848087827 49.62206205486783, 8.687214773972761 49.84202317091546, 9.026944408107761 49.84561778918926, 9.031688030611408 49.62563915281131, 8.693613848087827 49.62206205486783)))"
1125084,"MULTIPOLYGON (((8.687214773972761 49.84202317091546, 8.680757206248888 50.06198393149516, 9.022157415362674 50.06559623023316, 9.026944408107761 49.84561778918926, 8.687214773972761 49.84202317091546)))"
