gid,geom
1115106,"MULTIPOLYGON (((4.733213449087125 54.57514208624217, 4.704519087785584 54.79451587378661, 5.085185692482327 54.81055199781238, 5.111833042065958 54.59109151911972, 4.733213449087125 54.57514208624217)))"
1115107,"MULTIPOLYGON (((4.704519087785584 54.79451587378661, 4.675511607347166 55.01388281810391, 5.058247271179546 55.03000657593525, 5.085185692482327 54.81055199781238, 4.704519087785584 54.79451587378661)))"
1115108,"MULTIPOLYGON (((4.675511607347166 55.01388281810392, 4.646185000042562 55.23324278767536, 5.031012187480148 55.24945513999157, 5.058247271179546 55.03000657593525, 4.675511607347166 55.01388281810392)))"
1115109,"MULTIPOLYGON (((4.646185000042562 55.23324278767536, 4.616533106861065 55.45259564766304, 5.00347470973407 55.46889757361721, 5.031012187480148 55.24945513999157, 4.646185000042562 55.23324278767536)))"
1115110,"MULTIPOLYGON (((4.616533106861065 55.45259564766304, 4.586549612697847 55.67194125980425, 4.975628960826627 55.68833375748921, 5.00347470973407 55.46889757361721, 4.616533106861065 55.45259564766304)))"
1116105,"MULTIPOLYGON (((5.138194773962174 54.37162525057495, 5.111833042065958 54.59109151911972, 5.490738774247783 54.60585395443888, 5.515070178887908 54.38630822855169, 5.138194773962174 54.37162525057495)))"
1116106,"MULTIPOLYGON (((5.111833042065958 54.59109151911972, 5.085185692482327 54.81055199781238, 5.466143508418439 54.82539474881184, 5.490738774247783 54.60585395443888, 5.111833042065958 54.59109151911972)))"
1116107,"MULTIPOLYGON (((5.085185692482327 54.81055199781238, 5.058247271179546 55.03000657593525, 5.441279337899329 55.04493051729452, 5.466143508418439 54.82539474881184, 5.085185692482327 54.81055199781238)))"
1116108,"MULTIPOLYGON (((5.058247271179546 55.03000657593525, 5.031012187480148 55.24945513999157, 5.416141092671137 55.26446116313972, 5.441279337899329 55.04493051729453, 5.058247271179546 55.03000657593525)))"
1116109,"MULTIPOLYGON (((5.031012187480148 55.24945513999157, 5.00347470973407 55.46889757361721, 5.390723472183614 55.48398658715357, 5.416141092671137 55.26446116313972, 5.031012187480148 55.24945513999157)))"
1117084,"MULTIPOLYGON (((5.97284844683957 49.77485418468262, 5.953081332552376 49.99448519874269, 6.293551500742102 50.0066693290182, 6.311662552335233 49.78697888068979, 5.97284844683957 49.77485418468262)))"
1117085,"MULTIPOLYGON (((5.953081332552376 49.99448519874269, 5.933132820137262 50.21411282383555, 6.275274130784332 50.22635693263418, 6.293551500742102 50.0066693290182, 5.953081332552376 49.99448519874269)))"
