,,,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2012,BW,Endenergieverbrauch,2059.8207,,1448.8566,,,1223.7693,3823.9811,,,105129.993,182178.9526,10738.8,127715.0342,906.6648,1162.5349,227.227,7210.8171,,,,205155.0878,,23.2906,,,5040.0,59412.8393,,,5569.6414,244305.2134,,43418.611,,5034.1614,1011785.2962
2012,BW,Gewinngung und verarbeitendes Gewerbe,1886.5478,,1448.8566,,,0.7583,3823.9811,,,,16.91,,9852.7274,906.6648,1162.5349,131.9973,756.3777,,,,68837.1705,,23.2906,,,,12913.641,,,1.4474,99944.7056,,16298.2685,,5034.1614,223040.0411
2012,BW,Schienenverkehr,,,,,,,,,,,1079.0643,,,,,,,,,,,,,,,,69.5944,,,,5761.656,,,,,6910.3147
2012,BW,Straßenverkehr,,,,,,,,,,103598.0387,170572.0925,,,,,,2108.0746,,,,494.1456,,,,,,16377.449,,,,,,,,,293149.8003
2012,BW,Luftverkehr,,,,,,,,,,68.82,,10738.8,,,,,,,,,,,,,,,,,,,,,,,,10807.62
2012,BW,Küsten und Binnenschiffahrt,,,,,,,,,,,559.5148,,,,,,,,,,,,,,,,36.086,,,,,,,,,595.6008
2012,BW,Verkehr insgesamt,,,,,,,,,,103666.8587,172210.6716,10738.8,,,,,2108.0746,,,,494.1456,,,,,,16483.1293,,,,5761.656,,,,,311463.3358
2012,BW,Haushalte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BW,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BW,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",173.2729,,,,,1223.011,,,,1463.1343,9951.3709,,117862.3067,,,95.2298,4346.3648,,,,135823.7717,,,,,5040.0,30016.0689,,,5568.194,138598.8518,,27120.3425,,,477281.9193
2013,BW,Endenergieverbrauch,1978.65,,1134.38,,,1224.84,3203.78,,,105755.12,189540.44,9696.71,135271.41,519.37,1773.7,344.21,7244.55,,,,227074.91,,21.82,,,5148.0,62544.55,,,6132.49,247717.94,,46990.81,,6540.61,1059858.28
2013,BW,Gewinngung und verarbeitendes Gewerbe,1790.52,,1134.38,,,0.51,3203.78,,,,25.62,,9113.99,519.37,1773.7,271.74,704.62,,,,73631.56,,21.81,,,,14721.88,,,26.7,97191.47,,17903.17,,6540.61,228575.42
2013,BW,Schienenverkehr,,,,,,,,,,,1043.72,,,,,,,,,,,,,,,,63.25,,,,5747.79,,,,,6854.76
2013,BW,Straßenverkehr,,,,,,,,,,104109.29,176909.94,,,,,,1568.48,,,,568.49,,,,,,15201.33,,,,,,,,,298357.53
2013,BW,Luftverkehr,,,,,,,,,,59.17,,9696.71,,,,,,,,,,,,,,,,,,,,,,,,9755.88
2013,BW,Küsten und Binnenschiffahrt,,,,,,,,,,,521.86,,,,,,,,,,,,,,,,31.63,,,,,,,,,553.48
2013,BW,Verkehr insgesamt,,,,,,,,,,104168.46,178475.51,9696.71,,,,,1568.48,,,,568.49,,,,,,15296.21,,,,5747.79,,,,,315521.65
2013,BW,Haushalte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BW,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BW,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",188.13,,,,,1224.33,,,,1586.66,11039.31,,126157.42,,,72.47,4971.45,,,,152874.86,,0.0,,,5148.0,32526.46,,,6105.79,144778.68,,29087.64,,,515761.21
2014,BW,Endenergieverbrauch,3297.66,,1096.24,,,866.36,3188.73,,,106166.68,196051.39,9855.38,109205.84,519.72,2028.88,294.0,6373.14,,,,202717.89,,23.02,,,5544.0,58729.53,,,6755.85,236731.45,,38015.02,,7264.79,994725.55
2014,BW,Gewinngung und verarbeitendes Gewerbe,3152.47,,1096.24,,,0.61,3188.73,,,,22.32,,6870.84,519.72,2028.88,248.26,580.57,,,,67595.46,,22.98,,,,16235.02,,,34.9,97056.14,,15150.2,,7264.79,221068.13
2014,BW,Schienenverkehr,,,,,,,,,,,1004.25,,,,,,,,,,,,,,,,60.22,,,,4987.71,,,,,6052.18
2014,BW,Straßenverkehr,,,,,,,,,,104407.3,181085.87,,,,,,1418.1,,,,608.24,,,,,,15859.34,,,,,,,,,303378.85
2014,BW,Luftverkehr,,,,,,,,,,51.11,,9855.38,,,,,,,,,,,,,,,,,,,,,,,,9906.49
2014,BW,Küsten und Binnenschiffahrt,,,,,,,,,,,482.04,,,,,,,,,,,,,,,,28.9,,,,,,,,,510.94
2014,BW,Verkehr insgesamt,,,,,,,,,,104458.42,182572.16,9855.38,,,,,1418.1,,,,608.24,,,,,,15948.46,,,,4987.71,,,,,319848.46
2014,BW,Haushalte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BW,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BW,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",145.18,,,,,865.75,,,,1708.26,13456.91,,102335.0,,,45.74,4374.47,,,,134514.19,,0.04,,,5544.0,26546.04,,,6720.95,134687.6,,22864.81,,,453808.96
2012,BE,Endenergieverbrauch,2.217188,0.0,,,0.0,462.326394,84.981,,0.0,20849.651147,28455.4586193813,12619.1948,30989.824126,2.3,,21.0708,1263.7743,,,,81384.0103266447,,,,0.0,108.0,1055.636,2876.75291061868,,403.1,40767.385932,,40980.456,,0.0,262326.139543644
2012,BE,Gewinngung und verarbeitendes Gewerbe,0,0.0,,,0.0,0.0,84.981,,0.0,0.0,0.17229938132,0.0,3618.384,2.3,,13.752,3.414,,,,4168.16589,,,,0.0,0.0,705.856,0.01291061868,,0.0,6789.6756,,986.976,,0.0,16373.6897
2012,BE,Schienenverkehr,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,279.75552,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,18.043,,0.0,3221.4852,,0.0,,0.0,3519.28372
2012,BE,Straßenverkehr,0,0.0,,,0.0,0.0,0.0,,0.0,20443.220785,25777.63248,0.0,0.0,0.0,,0.0,686.53324,,,,245.059410526316,,,,0.0,0.0,0.0,2686.419,,0.0,0.0,,0.0,,0.0,49838.8649155263
2012,BE,Luftverkehr,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,12619.1948,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,12619.1948
2012,BE,Küsten und Binnenschiffahrt,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,439.60968,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,28.353,,0.0,0.0,,0.0,,0.0,467.96268
2012,BE,Verkehr insgesamt,0,0.0,,,0.0,0.0,0.0,,0.0,20443.220785,26496.99768,12619.1948,0.0,0.0,,0.0,686.53324,,,,245.059410526316,,,,0.0,0.0,0.0,2732.815,,0.0,3221.4852,,0.0,,0.0,66445.3061155263
2012,BE,Haushalte,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,22040.6526052632,,,,0.0,0.0,349.78,0.0,,0.0,15553.0548,,39333.3156,,0.0,77276.8030052632
2012,BE,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",0,0.0,,,0.0,0.0,0.0,,0.0,0.0,1958.28864,0.0,0.0,0.0,,0.0,0.0,,,,54930.1324208552,,,,0.0,0.0,0.0,143.925,,0.0,15203.170332,,660.1644,,0.0,72895.6807928552
2012,BE,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",2.217188,0.0,,,0.0,462.326394,0.0,,0.0,406.430362,1958.28864,0.0,27371.440126,0.0,,7.3188,573.82706,,,,76970.7850261184,,,,0.0,108.0,349.78,143.925,,403.1,30756.225132,,39993.48,,0.0,179507.143728118
2013,BE,Endenergieverbrauch,1.5145,0.0,,,0.0,479.282364,97.22704,,0.0,21236.835503,29866.5873150775,13376.284,31900.0154,1.32933,,5.55972,1339.194753,,,,74090.8273890789,,,,0.0,108.0,1295.00111,2722.269595767,,438.53899,41932.4130864,,39417.3072,,0.0,258308.187296323
2013,BE,Gewinngung und verarbeitendes Gewerbe,0,0.0,,,0.0,0.0,97.22704,,0.0,0.0,0.2368350775,0.0,2829.62185,1.32933,,0.0,3.64274,,,,4163.97774,,,,0.0,0.0,916.11111,0.016595767,,0.03899,6288.5178864,,1097.176757796,,0.0,15397.8968750405
2013,BE,Schienenverkehr,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,281.00136,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,17.03,,0.0,3006.8059176,,0.0,,0.0,3304.8372776
2013,BE,Straßenverkehr,0,0.0,,,0.0,0.0,0.0,,0.0,20870.682416,27337.33824,0.0,0.0,0.0,,0.0,756.630424,,,,290.311489473684,,,,0.0,0.0,0.0,2553.229,,0.0,0.0,,0.0,,0.0,51808.1915694737
2013,BE,Luftverkehr,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,13376.284,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,13376.284
2013,BE,Küsten und Binnenschiffahrt,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,481.71048,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,29.194,,0.0,0.0,,0.0,,0.0,510.90448
2013,BE,Verkehr insgesamt,0,0.0,,,0.0,0.0,0.0,,0.0,20870.682416,28100.05008,13376.284,0.0,0.0,,0.0,756.630424,,,,290.311489473684,,,,0.0,0.0,0.0,2599.453,,0.0,3006.8059176,,0.0,,0.0,69000.2173270737
2013,BE,Haushalte,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,21938.2988,,,,0.0,0.0,378.89,0.0,,0.0,15005.0844,,37395.5076,,0.0,74717.7808
2013,BE,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",0,0.0,,,0.0,0.0,0.0,,0.0,0.0,1766.3004,0.0,0.0,0.0,,0.0,0.0,,,,47698.2393596052,,,,0.0,0.0,0.0,122.8,,0.0,17632.0048824,,924.622842204,,0.0,68143.9674842092
2013,BE,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",1.5145,0.0,,,0.0,479.282364,0.0,,0.0,366.153087,1766.3004,0.0,29070.39355,0.0,,5.55972,578.921589,,,,69636.5381596052,,,,0.0,108.0,378.89,122.8,,438.5,32637.0892824,,38320.130442204,,0.0,173910.073094209
2014,BE,Endenergieverbrauch,1.338974,0.0,,,0.0,311.585805,75.03463,,0.0,23294.97,32863.8491004093,13736.018,24876.92150169,0.0,,3.5096,1216.86398,,,,51004.9723789474,,,,0.0,108.0,436.355196,2710.73217446495,,477.1,48326.0688,,34024.1832,,0.0,233467.503340512
2014,BE,Gewinngung und verarbeitendes Gewerbe,0,0.0,,,0.0,0.0,75.03463,,0.0,0.0,0.214100409295,0.0,651.87377169,0.0,,0.0,4.19966,,,,4340.82946,,,,0.0,0.0,129.075196,0.014174464952,,0.0,6297.4877112,,1000.328708052,,0.0,12499.0574118162
2014,BE,Schienenverkehr,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,343.672,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,18.445,,0.0,3123.1314864,,0.0,,0.0,3485.2484864
2014,BE,Straßenverkehr,0,0.0,,,0.0,0.0,0.0,,0.0,23164.344,30157.218,0.0,0.0,0.0,,0.0,678.85839,,,,216.316952631579,,,,0.0,0.0,0.0,2560.181,,0.0,0.0,,0.0,,0.0,56776.9183426316
2014,BE,Luftverkehr,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,13736.018,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,13736.018
2014,BE,Küsten und Binnenschiffahrt,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,558.467,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,29.973,,0.0,0.0,,0.0,,0.0,588.44
2014,BE,Verkehr insgesamt,0,0.0,,,0.0,0.0,0.0,,0.0,23164.344,31059.357,13736.018,0.0,0.0,,0.0,678.85839,,,,216.316952631579,,,,0.0,0.0,0.0,2608.599,,0.0,3123.1314864,,0.0,,0.0,74586.6248290316
2014,BE,Haushalte,0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,16394.8233315789,,,,0.0,0.0,307.28,0.0,,0.0,15080.9004,,32132.9628,,0.0,63915.966531579
2014,BE,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",0,0.0,,,0.0,0.0,0.0,,0.0,0.0,1804.278,0.0,0.0,0.0,,0.0,0.0,,,,30053.0026347368,,,,0.0,0.0,0.0,102.119,,0.0,23824.5492024,,890.891691948,,0.0,56674.8405290848
2014,BE,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",1.338974,0.0,,,0.0,311.585805,0.0,,0.0,130.626,1804.278,0.0,24225.04773,0.0,,3.5096,533.80593,,,,46447.8259663158,,,,0.0,108.0,307.28,102.119,,477.1,38905.4496024,,33023.854491948,,0.0,146381.821099664
2012,BB,Endenergieverbrauch,7381.644,0.0,,8713.281,426.491,2132.669,3570.595,0.0,0.0,23922.219,47598.772,4820.05,13609.966,,0.0,5.992,2676.962,0.0,,,64143.637,,0.0,0.0,0.0,450.0,36611.631,,,1393.9,57132.871,,20361.175,1773.572,0.0,296725.427
2012,BB,Gewinngung und verarbeitendes Gewerbe,7199.761,0.0,,8713.281,426.066,11.896,3569.91,0.0,0.0,0.0,0.037,0.0,1449.572,,0.0,0.0,46.293,0.0,,,26029.698,,0.0,0.0,0.0,0.0,9863.453,,,0.0,25348.324,,11688.822,1773.572,0.0,96120.685
2012,BB,Schienenverkehr,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.773,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,92.793,,,0.0,2597.18,,0.0,0.0,0.0,4128.747
2012,BB,Straßenverkehr,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,23653.995,41244.221,0.0,0.0,,0.0,0.0,746.242,0.0,,,242.565,,0.0,0.0,0.0,0.0,3898.69,,,0.0,0.0,,0.0,0.0,0.0,69785.712
2012,BB,Luftverkehr,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,24.384,0.0,4820.05,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,4844.434
2012,BB,Küsten und Binnenschiffahrt,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.949,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,5.155,,,0.0,0.0,,0.0,0.0,0.0,85.104
2012,BB,Verkehr insgesamt,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,23678.379,42762.942,4820.05,0.0,,0.0,0.0,746.242,0.0,,,242.565,,0.0,0.0,0.0,0.0,3996.638,,,0.0,2597.18,,0.0,0.0,0.0,78843.997
2012,BB,Haushalte,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,32831.268,,0.0,0.0,0.0,0.0,22429.08,,,1393.9,13238.626,,5177.873,0.0,0.0,75070.747
2012,BB,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4835.792,0.0,0.0,,0.0,0.0,0.0,0.0,,,5040.105,,0.0,0.0,0.0,0.0,322.46,,,0.0,15948.742,,3494.48,0.0,0.0,29641.58
2012,BB,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",181.882,0.0,,0.0,0.425,2120.773,0.685,0.0,0.0,243.841,4835.792,0.0,12160.393,,0.0,5.992,1884.427,0.0,,,37871.374,,0.0,0.0,0.0,450.0,22751.54,,,1393.9,29187.367,,8672.353,0.0,0.0,121760.744
2013,BB,Endenergieverbrauch,11194.088,0.0,,10197.022,323.73,2365.556,3528.1,0.0,0.0,25058.426,49095.194,4470.246,14083.802,,0.0,4.665,2770.883,0.0,,,69403.887,,0.0,0.0,0.0,450.0,38978.86,,,1487.2,55685.045,,18274.234,2370.701,0.0,309741.638
2013,BB,Gewinngung und verarbeitendes Gewerbe,11001.941,0.0,,10197.022,323.73,14.062,3528.04,0.0,0.0,0.0,0.377,0.0,1280.58,,0.0,0.0,37.666,0.0,,,26707.493,,0.0,0.0,0.0,0.0,10552.483,,,0.0,25370.964,,8958.56,2370.701,0.0,100343.619
2013,BB,Schienenverkehr,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485.299,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,90.013,,,0.0,2235.118,,0.0,0.0,0.0,3810.43
2013,BB,Straßenverkehr,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,24775.967,42792.37,0.0,0.0,,0.0,0.0,760.629,0.0,,,152.389,,0.0,0.0,0.0,0.0,3590.135,,,0.0,0.0,,0.0,0.0,0.0,72071.49
2013,BB,Luftverkehr,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21.201,0.0,4470.246,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,4491.447
2013,BB,Küsten und Binnenschiffahrt,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.292,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,4.866,,,0.0,0.0,,0.0,0.0,0.0,85.158
2013,BB,Verkehr insgesamt,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,24797.168,44357.961,4470.246,0.0,,0.0,0.0,760.629,0.0,,,152.389,,0.0,0.0,0.0,0.0,3685.014,,,0.0,2235.118,,0.0,0.0,0.0,80458.525
2013,BB,Haushalte,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,32586.04,,0.0,0.0,0.0,0.0,24443.789,,,1487.2,13106.084,,5804.107,0.0,0.0,77427.221
2013,BB,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4736.856,0.0,0.0,,0.0,0.0,0.0,0.0,,,9957.964,,0.0,0.0,0.0,0.0,297.574,,,0.0,14972.879,,3511.566,0.0,0.0,33476.839
2013,BB,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",192.147,0.0,,0.0,0.0,2351.494,0.06,0.0,0.0,261.258,4736.856,0.0,12803.222,,0.0,4.665,1972.588,0.0,,,42544.004,,0.0,0.0,0.0,450.0,24741.363,,,1487.2,28078.963,,9315.673,0.0,0.0,128939.493
2014,BB,Endenergieverbrauch,11842.29,0.0,,9534.931,360.555,1745.328,3524.321,0.0,0.0,25405.015,50240.787,4640.376,11638.872,,0.0,2.868,2530.969,0.0,,,66409.229,,0.0,0.0,0.0,486.0,31547.312,,,1585.5,58640.497,,17645.849,1112.039,0.0,298892.738
2014,BB,Gewinngung und verarbeitendes Gewerbe,11718.257,0.0,,9534.931,360.555,0.918,3524.194,0.0,0.0,0.0,0.108,0.0,1043.553,,0.0,0.0,33.804,0.0,,,25776.817,,0.0,0.0,0.0,0.0,7910.072,,,0.0,25495.474,,8846.047,1112.039,0.0,95356.767
2014,BB,Schienenverkehr,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.268,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,89.92,,,0.0,2266.07,,0.0,0.0,0.0,3927.259
2014,BB,Straßenverkehr,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25080.192,43633.242,0.0,0.0,,0.0,0.0,746.418,0.0,,,231.218,,0.0,0.0,0.0,0.0,3518.789,,,0.0,0.0,,0.0,0.0,0.0,73209.859
2014,BB,Luftverkehr,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.029,0.0,4640.376,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,4660.405
2014,BB,Küsten und Binnenschiffahrt,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.591,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,4.611,,,0.0,0.0,,0.0,0.0,0.0,85.202
2014,BB,Verkehr insgesamt,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25100.221,45285.101,4640.376,0.0,,0.0,0.0,746.418,0.0,,,231.218,,0.0,0.0,0.0,0.0,3613.32,,,0.0,2266.07,,0.0,0.0,0.0,81882.725
2014,BB,Haushalte,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,28779.411,,0.0,0.0,0.0,0.0,19728.0,,,1585.5,14230.076,,5713.308,0.0,0.0,70036.296
2014,BB,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4955.578,0.0,0.0,,0.0,0.0,0.0,0.0,,,11621.782,,0.0,0.0,0.0,0.0,295.92,,,0.0,16648.877,,3086.494,0.0,0.0,36608.651
2014,BB,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",124.033,0.0,,0.0,0.0,1744.41,0.128,0.0,0.0,304.794,4955.578,0.0,10595.319,,0.0,2.868,1750.747,0.0,,,40401.194,,0.0,0.0,0.0,486.0,20023.92,,,1585.5,30878.953,,8799.802,0.0,0.0,121653.246
2012,HB,Endenergieverbrauch,11779.482512,0.0,21212.665722,,,53.813656,1147.6241,,,5573.504,11814.0,1651.6035504,5516.00507272809,233.6425,0.0,0.0,244.493421170593,,5780.2810032,,23851.0701751263,,0.0,0.0,0.0,36.0,1003.21022367385,,,45.4373233034125,17443.5914484,,4356.81448385457,0.0,0.0,111743.239191857
2012,HB,Gewinngung und verarbeitendes Gewerbe,11779.241688,0.0,21212.665722,,,0.0,962.422366,,,0.0,0.0,0.0,308.13937,233.6425,0.0,0.0,1.17971641,,5780.2810032,,9441.01338522687,,0.0,0.0,0.0,0.0,3.13218972,,,0.0,8507.5582644,,1081.7957484,0.0,0.0,59311.0719533569
2012,HB,Schienenverkehr,0,0.0,0,,,0.0,0.0,,,0.0,214.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,12.8878496825986,,,0.0,408.8624796,,0.0,0.0,0.0,636.550329282599
2012,HB,Straßenverkehr,0,0.0,0,,,0.0,0.0,,,5442.875,10224.48,0.0,0.0,0.0,0.0,0.0,129.779382925936,,0.0,,31.8534368421053,,0.0,0.0,0.0,0.0,882.554363875386,,,0.0,0.0,,0.0,0.0,0.0,16711.5421836434
2012,HB,Luftverkehr,0,0.0,0,,,0.0,0.0,,,0.0,0.0,1651.6035504,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1651.6035504
2012,HB,Küsten und Binnenschiffahrt,0,0.0,0,,,0.0,0.0,,,0.0,1031.04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,61.8616784764731,,,0.0,0.0,,0.0,0.0,0.0,1092.90167847647
2012,HB,Verkehr insgesamt,0,0.0,0,,,0.0,0.0,,,5442.875,11470.32,1651.6035504,0.0,0.0,0.0,0.0,129.779382925936,,0.0,,31.8534368421053,,0.0,0.0,0.0,0.0,957.303892034457,,,0.0,408.8624796,,0.0,0.0,0.0,20092.5977418025
2012,HB,Haushalte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,HB,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,HB,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",0.240824,0.0,0,,,53.813656,185.201734,,,130.629,343.68,0.0,5207.86570272809,0.0,0.0,0.0,113.534321834658,,0.0,,14378.2033530573,,0.0,0.0,0.0,36.0,42.7741419193939,,,45.4373233034125,8527.1707044,,3275.01873545457,0.0,0.0,32339.5694966974
2013,HB,Endenergieverbrauch,12257.39199,0.0,13997.0319664,,,53.606449,4347.29761,,,5288.94805602095,10832.1522187944,1814.33161568,5872.28571367779,53.878,0.0,0.0,267.898463509001,,6337.577286,,26785.4819833153,,0.0,0.0,0.0,36.0,943.776743151689,,,53.6240715886255,17946.7493144727,,4747.21142485705,0.0,0.0,111635.242906468
2013,HB,Gewinngung und verarbeitendes Gewerbe,12257.0588,0.0,13997.0319664,,,0.0,4155.75136,,,0.0,16.63669,0.0,291.44012,53.878,0.0,0.0,1.49938,,6337.577286,,9165.53436,,0.0,0.0,0.0,0.0,2.52156,,,0.0,8609.2197228,,1065.798034,0.0,0.0,55953.9472792
2013,HB,Schienenverkehr,0,0.0,0,,,0.0,0.0,,,0.0,190.472037055109,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,12.1639814724455,,,0.0,426.0168,,0.0,0.0,0.0,628.652818527555
2013,HB,Straßenverkehr,0,0.0,0,,,0.0,0.0,,,5172.32490192693,9444.1168619976,0.0,0.0,0.0,0.0,0.0,150.191968203143,,0.0,,43.3361445449511,,0.0,0.0,0.0,0.0,829.375371709299,,,0.0,0.0,,0.0,0.0,0.0,15639.3452483819
2013,HB,Luftverkehr,0,0.0,0,,,0.0,0.0,,,0.0,0.0,1814.33161568,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1814.33161568
2013,HB,Küsten und Binnenschiffahrt,0,0.0,0,,,0.0,0.0,,,0.0,838.07696304248,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,53.52151847876,,,0.0,0.0,,0.0,0.0,0.0,891.59848152124
2013,HB,Verkehr insgesamt,0,0.0,0,,,0.0,0.0,,,5172.32490192693,10472.6658620952,1814.33161568,0.0,0.0,0.0,0.0,150.191968203143,,0.0,,43.3361445449511,,0.0,0.0,0.0,0.0,895.060871660505,,,0.0,426.0168,,0.0,0.0,0.0,18973.9281641107
