,,,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2012,ST,Verkehr insgesamt,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16693.123453,34490.09232,196.5804,0.0,0.0,0.0,0.0,803.65206,0.0,,,402.403698,,0.0,0.0,0.0,0.0,3117.4,,,0.0,1740.8592,,0.0,0.0,0.0,57444.111131
2012,ST,Haushalte,105.631427,0.0,0,0.0,0.0,1537.922,0.0,0.0,0.0,117.13067,0.0,0.0,10308.556256,0.0,0.0,6.377,1203.777385,0.0,,,25555.800033,,0.0,0.0,0.0,288.123,10756.632,,,552.429,11377.9836,,7416.4,0.0,0.0,69226.762371
2012,ST,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",52.439426,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,248.674073,4356.22992,0.0,3913.368369,0.0,0.0,0.0,978.77871,0.0,,,29536.614312,,0.0,0.0,0.0,143.877,296.817,,,0.0,8979.8112,,242.689,0.0,0.0,48749.29901
2012,ST,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",158.070853,0.0,0,0.0,0.0,1537.925802,0.0,0.0,0.0,365.804743,4356.22992,0.0,14221.924625,0.0,0.0,6.377,2182.556095,0.0,,,55092.414345,,0.0,0.0,0.0,432.0,11053.449,,,552.429,20357.7948,,7659.089,0.0,0.0,117976.065183
2013,ST,Endenergieverbrauch,,0.0,,0.0,3061.439,2294.6898,3758.886,0.0,0.0,16499.574818,40522.2485472,163.496,16440.977304,,0.0,,3154.810939,0.0,,,109809.9936,,8.793,0.0,0.0,432.0,27666.531,,,593.041,54916.506,,29660.747,1883.422,0.0,315423.7434182
2013,ST,Gewinngung und verarbeitendes Gewerbe,,0.0,,0.0,3061.439,651.865,3758.886,0.0,0.0,0.0,18.0569472,0.0,1253.886,,0.0,,109.116,0.0,,,55987.0848,,8.793,0.0,0.0,0.0,12790.51,,,1.618,34585.848,,21307.842,1883.422,0.0,139814.7607472
2013,ST,Schienenverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043.7132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,63.253,,,0.0,1984.7916,,0.0,0.0,0.0,3091.7578
2013,ST,Straßenverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16110.692285,34442.62152,0.0,0.0,0.0,0.0,0.0,734.330609,0.0,,,356.5656,,0.0,0.0,0.0,0.0,2781.946,,,0.0,0.0,,0.0,0.0,0.0,54426.156014
2013,ST,Luftverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.729446,0.0,163.496,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,186.225446
2013,ST,Küsten und Binnenschiffahrt,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.54152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,9.731,,,0.0,0.0,,0.0,0.0,0.0,170.27252
2013,ST,Verkehr insgesamt,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16133.421731,35646.87624,163.496,0.0,0.0,0.0,0.0,734.330609,0.0,,,356.5656,,0.0,0.0,0.0,0.0,2854.93,,,0.0,1984.7916,,0.0,0.0,0.0,57874.41178
2013,ST,Haushalte,112.61822,0.0,0,0.0,0.0,1642.8248,0.0,0.0,0.0,156.406456,0.0,0.0,11009.450716,0.0,0.0,4.836,1259.36481,0.0,,,26667.4284,,0.0,0.0,0.0,404.919,11710.966,,,591.423,11080.9944,,7764.062,0.0,0.0,72405.293802
2013,ST,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",42.73919,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,209.746631,4857.31536,0.0,4177.640588,0.0,0.0,0.0,1051.99952,0.0,,,26798.9148,,0.0,0.0,0.0,27.081,310.125,,,0.0,7264.872,,588.843,0.0,0.0,45329.277089
2013,ST,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",155.35741,0.0,0,0.0,0.0,1642.8248,0.0,0.0,0.0,366.153087,4857.31536,0.0,15187.091304,0.0,0.0,4.836,2311.36433,0.0,,,53466.3432,,0.0,0.0,0.0,432.0,12021.091,,,591.423,18345.8664,,8352.905,0.0,0.0,117734.570891
2014,ST,Endenergieverbrauch,2822.892996,0.0,,0.0,3609.398,2074.43898400915,3755.514,0.0,0.0,16165.83834,41358.20890243,146.6756,14005.503666,,0.0,,2825.27879,0.0,,,100791.6624,,5.89,0.0,0.0,468.0,24936.57,,,646.845,53870.3532,,30088.346,2313.708,0.0,302935.947878439
2014,ST,Gewinngung und verarbeitendes Gewerbe,2725.995,0.0,,0.0,3609.398,860.952314009148,3755.514,0.0,0.0,0.0,21.46961943,0.0,1133.082,,0.0,,92.507,0.0,,,54825.4728,,5.89,0.0,0.0,0.0,12389.044,,,1.61,34534.2996,,22917.147,2313.708,0.0,142233.831333439
2014,ST,Schienenverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087.807798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,62.253,,,0.0,1956.6036,,0.0,0.0,0.0,3106.664398
2014,ST,Straßenverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15737.907564,34769.596953,0.0,0.0,0.0,0.0,0.0,696.42657,0.0,,,336.7764,,0.0,0.0,0.0,0.0,2677.231,,,0.0,0.0,,0.0,0.0,0.0,54217.938487
2014,ST,Luftverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.248496,0.0,146.6756,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,167.924096
