"Länderarbeitskreis Energiebilanzen"
"Vollständige Energiebilanz "
"Einheit: Terajoule"
" "
Land;Jahr;Bilanzzeile;Anm;Insgesamt;"Kohle (roh)";Briketts;Koks;"Andere Steinkohlen produkte";"Kohle (roh)";Briketts;"Koks, Hartbraun kohle, andere Braunkohlen produkte";"Erdöl (roh)";Rohbenzin;"Ottokraft stoffe";"Dieselkraft stoffe";"Flugturbinen kraftstoffe";"Heizöl leicht";"Heizöl schwer";Petrolkoks;"Andere Mineralöl produkte";Flüssiggas;Raffineriegas;"Kokereigas, Stadtgas";"Gichtgas, Konvertergas";"Erdgas, Erdölgas";"Grubengas, sonstige Gase";"Klärgas, Deponiegas";Wasserkraft;Windkraft;Solarenergie;"Biomasse 1)";"Sonstige erneuerbare Energien 2)";Strom;Kernenergie;Fernwärme;"Andere Energieträger";Stand
Baden-Württemberg;1990;"Gewerbe, Handel, Dienstleistungen u übrige Verbraucher";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Haushalte, Gewerbe, Handel und Dienstleistungen u übrige Verbraucher";;446410;953;911;401;0;0;2504;0;0;0;1306;10463;0;197938;1477;0;43;4130;0;0;0;92764;0;0;0;0;0;7942;0;106751;0;18827;0;
Baden-Württemberg;1991;Gewinnung;;37097;0;0;0;0;0;0;0;1620;0;0;0;0;0;0;0;0;0;0;0;0;1936;0;2036;13428;0;0;13090;0;0;0;0;4987;
Baden-Württemberg;1991;Bezüge;;1770279;194926;1130;3811;0;0;3275;2648;769966;0;0;1451;0;61793;0;0;0;0;0;0;0;244113;0;0;0;0;0;0;0;116543;370623;0;0;
Baden-Württemberg;1991;Bestandsentnahmen;;693;0;0;630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;Energieaufkommen;;1808069;194926;1130;4441;0;0;3275;2648;771586;0;0;1451;0;61793;0;0;0;0;0;0;0;246112;0;2036;13428;0;0;13090;0;116543;370623;0;4987;
Baden-Württemberg;1991;Lieferungen;;287544;0;0;0;0;0;0;0;0;958;74675;0;2135;0;34181;4279;13388;5506;0;0;0;46557;0;0;0;0;0;0;0;105865;0;0;0;
Baden-Württemberg;1991;Bestandsaufstockungen;;5748;5748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;Primärenergieverbrauch;;1514777;189178;1130;4441;0;0;3275;2648;771586;-958;-74675;1451;-2135;61793;-34181;-4279;-13388;-5506;0;0;0;199555;0;2036;13428;0;0;13090;0;10678;370623;0;4987;
Baden-Württemberg;1991;"Umw-Einsatz: Kokereien";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Einsatz: Steinkohlen- und Braunkohlenbrikettfabriken";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Einsatz: Wärmekraftwerke der allgemeinen Versorgung (ohne KWK)";LAK2);169623;144562;0;0;0;0;0;0;0;0;0;0;0;1367;13499;0;0;0;0;0;0;7521;0;0;0;0;0;1604;0;0;0;0;1070;
Baden-Württemberg;1991;"Umw-Einsatz: Heizkraftwerke der allgemeinen Versorgung (nur KWK)";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Einsatz: Industriewärmekraftwerke";;39461;14474;0;0;0;0;0;0;0;0;0;0;0;427;8247;0;0;0;3627;0;0;8664;0;94;0;0;0;1348;0;0;0;0;2580;
Baden-Württemberg;1991;"Umw-Einsatz: Kernkraftwerke";;370623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;370623;0;0;
Baden-Württemberg;1991;"Umw-Einsatz: Wasserkraftwerke";;18662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13428;0;0;0;0;5234;0;0;0;
Baden-Württemberg;1991;"Umw-Einsatz: Windkraft-, Fotovoltaik- und andere Anlagen";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Einsatz: Heizwerke";LAK2);33003;12776;0;0;0;0;0;0;0;0;0;0;0;1708;2626;0;0;138;0;0;0;12345;0;68;0;0;0;2005;0;0;0;0;1337;
Baden-Württemberg;1991;"Umw-Einsatz: Hochöfen, Konverter";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Einsatz: Raffinerien";;785955;0;0;0;0;0;0;0;771586;14369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Einsatz: Sonstige Energieerzeuger";;1649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1363;275;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Einsatz: Insgesamt";;1418976;171812;0;0;0;0;0;0;771586;14369;0;0;0;3502;24372;0;1363;413;3627;0;0;28530;0;173;13428;0;0;4957;0;5234;370623;0;4987;
Baden-Württemberg;1991;"Umw-Ausstoß: Kokereien";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Steinkohlen- und Braunkohlenbrikettfabriken";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Wärmekraftwerke der allgemeinen Versorgung (ohne KWK)";LAK2);67392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67392;0;0;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Heizkraftwerke der allgemeinen Versorgung (nur KWK)";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Industriewärmekraftwerke";;17806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17806;0;0;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Kernkraftwerke";;122306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122306;0;0;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Wasserkraftwerke";;17014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17014;0;0;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Windkraft-, Fotovoltaik- und andere Anlagen";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Heizwerke";LAK2);29541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29541;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Hochöfen, Konverter";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Raffinerien";;770670;0;0;0;0;0;0;0;0;15371;241620;116884;10591;201055;86124;15592;29709;20695;33029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Sonstige Energieerzeuger";;12018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11764;0;0;0;0;254;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Ausstoß: Insgesamt";;1036747;0;0;0;0;0;0;0;0;15371;241620;116884;10591;201055;86124;15592;41473;20695;33029;0;0;254;0;0;0;0;0;0;0;224518;0;29541;0;
Baden-Württemberg;1991;"Umw-Verbrauch: Kokereien";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Verbrauch: Steinkohlenbergbau, Braunkohlenbergbau";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Verbrauch: Kraftwerke, Heizwerke";;14256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14256;0;0;0;
Baden-Württemberg;1991;"Umw-Verbrauch: Erdöl- und Erdgasgewinnung";;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1991;"Umw-Verbrauch: Mineralölverarbeitung (einschl Stein- und Braunkohlenbrikettfabriken)";;41132;0;0;0;0;0;0;0;0;44;0;85;0;512;4431;5334;195;1193;27322;0;0;0;0;0;0;0;0;0;0;2016;0;0;0;
Baden-Württemberg;1991;"Umw-Verbrauch: Sonstige Energieerzeuger";;2728;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;1016;0;1630;0;0;0;0;0;0;0;0;0;
